#Conversion of scaffold names used in genome assemblies (left) and in this manuscript (right)

scaffold1_size1318325_1_614794	scaffold1_1
scaffold2312_size63336_15802_63336	scaffold2312_3
scaffold2313_size77643	scaffold2313_1
scaffold2314_size56207	scaffold2314_1
scaffold2315_size56196	scaffold2315_1
scaffold2316_size56196	scaffold2316_1
scaffold2317_size56179	scaffold2317_1
scaffold2318_size56154	scaffold2318_1
scaffold2319_size56152	scaffold2319_1
scaffold2320_size56132	scaffold2320_1
scaffold2321_size56125	scaffold2321_1
scaffold2322_size56116	scaffold2322_1
scaffold2323_size56071_1_6985	scaffold2323_1
scaffold2323_size56071_7210_56071	scaffold2323_2
scaffold2324_size56059	scaffold2324_1
scaffold2325_size56016	scaffold2325_1
scaffold2326_size56014	scaffold2326_1
scaffold2327_size55981_1_48038	scaffold2327_1
scaffold2327_size55981_48933_55981	scaffold2327_2
scaffold2328_size55953	scaffold2328_1
scaffold2329_size55887	scaffold2329_1
scaffold2330_size55863	scaffold2330_1
scaffold2331_size55854_1_43377	scaffold2331_1
scaffold2331_size55854_44695_55854	scaffold2331_2
scaffold2332_size55821	scaffold2332_1
scaffold2333_size55815_1_8877	scaffold2333_1
scaffold2333_size55815_9575_11063	scaffold2333_2
scaffold2333_size55815_12676_55815	scaffold2333_3
scaffold2334_size55810	scaffold2334_1
scaffold2335_size55798	scaffold2335_1
scaffold2336_size55757	scaffold2336_1
scaffold2337_size55745	scaffold2337_1
scaffold2338_size55744_1_40555	scaffold2338_1
scaffold2338_size55744_42304_44812	scaffold2338_2
scaffold2338_size55744_49593_55744	scaffold2338_3
scaffold2339_size55647	scaffold2339_1
scaffold2340_size55645	scaffold2340_1
scaffold2341_size55645	scaffold2341_1
scaffold2342_size55645	scaffold2342_1
scaffold2343_size55642	scaffold2343_1
scaffold2344_size55596	scaffold2344_1
scaffold2345_size55595	scaffold2345_1
scaffold2346_size78493	scaffold2346_1
scaffold2347_size55591_1_18353	scaffold2347_1
scaffold2347_size55591_18697_47672	scaffold2347_2
scaffold2347_size55591_47802_55591	scaffold2347_3
scaffold2348_size55576	scaffold2348_1
scaffold2349_size55538	scaffold2349_1
scaffold2350_size55532	scaffold2350_1
scaffold2351_size55475	scaffold2351_1
scaffold2352_size55472	scaffold2352_1
scaffold2353_size55451_1_9413	scaffold2353_1
scaffold2353_size55451_10122_55451	scaffold2353_2
scaffold2354_size55437	scaffold2354_1
scaffold2355_size55433	scaffold2355_1
scaffold2356_size55430_1_8645	scaffold2356_1
scaffold2356_size55430_10700_55430	scaffold2356_2
scaffold2357_size55399	scaffold2357_1
scaffold2358_size55379	scaffold2358_1
scaffold2359_size55377	scaffold2359_1
scaffold2360_size55370_1_1193	scaffold2360_1
scaffold2360_size55370_1195_3806	scaffold2360_2
scaffold2360_size55370_6197_55370	scaffold2360_3
scaffold2361_size55352	scaffold2361_1
scaffold2362_size55314	scaffold2362_1
scaffold2363_size55309	scaffold2363_1
scaffold2364_size55305	scaffold2364_1
scaffold2365_size55295	scaffold2365_1
scaffold2366_size55288	scaffold2366_1
scaffold2367_size55271	scaffold2367_1
scaffold2368_size55267	scaffold2368_1
scaffold2369_size55233	scaffold2369_1
scaffold2370_size55218	scaffold2370_1
scaffold2371_size55216	scaffold2371_1
scaffold2372_size55209	scaffold2372_1
scaffold2373_size55137	scaffold2373_1
scaffold2374_size55110	scaffold2374_1
scaffold2375_size55076	scaffold2375_1
scaffold2376_size55073	scaffold2376_1
scaffold2377_size55042	scaffold2377_1
scaffold2378_size55041	scaffold2378_1
scaffold2379_size55039	scaffold2379_1
scaffold2380_size55014	scaffold2380_1
scaffold2381_size55011_1_50071	scaffold2381_1
scaffold2381_size55011_51606_55011	scaffold2381_2
scaffold2382_size54969	scaffold2382_1
scaffold2383_size54953	scaffold2383_1
scaffold2384_size54952_1_23657	scaffold2384_1
scaffold2384_size54952_23659_54952	scaffold2384_2
scaffold2385_size54950_1_5040	scaffold2385_1
scaffold2385_size54950_5764_54950	scaffold2385_2
scaffold2386_size54926	scaffold2386_1
scaffold2387_size54893	scaffold2387_1
scaffold2388_size54852	scaffold2388_1
scaffold2389_size54846	scaffold2389_1
scaffold2390_size54830_1_23036	scaffold2390_1
scaffold2390_size54830_23302_24607	scaffold2390_2
scaffold2390_size54830_28909_54830	scaffold2390_3
scaffold2391_size54821	scaffold2391_1
scaffold2392_size54812	scaffold2392_1
scaffold2393_size54779	scaffold2393_1
scaffold2394_size54735	scaffold2394_1
scaffold2395_size54726	scaffold2395_1
scaffold2396_size54723	scaffold2396_1
scaffold2397_size54707	scaffold2397_1
scaffold2398_size54701	scaffold2398_1
scaffold2399_size54684	scaffold2399_1
scaffold2400_size54654	scaffold2400_1
scaffold2401_size54628_1_33254	scaffold2401_1
scaffold2401_size54628_33271_54628	scaffold2401_2
scaffold2402_size54627	scaffold2402_1
scaffold2403_size54619_1_11480	scaffold2403_1
scaffold2403_size54619_11482_54619	scaffold2403_2
scaffold2404_size54583	scaffold2404_1
scaffold2405_size54572	scaffold2405_1
scaffold2406_size54569_1_7850	scaffold2406_1
scaffold2406_size54569_9289_54569	scaffold2406_2
scaffold2407_size54519	scaffold2407_1
scaffold2408_size54495	scaffold2408_1
scaffold2409_size54482	scaffold2409_1
scaffold2410_size54480	scaffold2410_1
scaffold2411_size54468	scaffold2411_1
scaffold2412_size54454	scaffold2412_1
scaffold2413_size54429	scaffold2413_1
scaffold2414_size54429	scaffold2414_1
scaffold2415_size54399	scaffold2415_1
scaffold2416_size54391	scaffold2416_1
scaffold2417_size54369	scaffold2417_1
scaffold2418_size54369	scaffold2418_1
scaffold2419_size54355	scaffold2419_1
scaffold2420_size54343	scaffold2420_1
scaffold2421_size54335	scaffold2421_1
scaffold2422_size54326	scaffold2422_1
scaffold2423_size54320_1_16347	scaffold2423_1
scaffold2423_size54320_17169_54320	scaffold2423_2
scaffold2424_size54270	scaffold2424_1
scaffold2425_size54241	scaffold2425_1
scaffold2426_size54226	scaffold2426_1
scaffold2427_size54218	scaffold2427_1
scaffold2428_size54188_1_20231	scaffold2428_1
scaffold2428_size54188_20549_54188	scaffold2428_2
scaffold2429_size54186	scaffold2429_1
scaffold2430_size54143	scaffold2430_1
scaffold2431_size54135	scaffold2431_1
scaffold2432_size54114	scaffold2432_1
scaffold2433_size54098	scaffold2433_1
scaffold2434_size54087	scaffold2434_1
scaffold2435_size54069	scaffold2435_1
scaffold2436_size54015	scaffold2436_1
scaffold2437_size53985	scaffold2437_1
scaffold2438_size53980	scaffold2438_1
scaffold2439_size53896	scaffold2439_1
scaffold2440_size53882	scaffold2440_1
scaffold2441_size53878	scaffold2441_1
scaffold2442_size53863	scaffold2442_1
scaffold2443_size53841_1_14262	scaffold2443_1
scaffold2443_size53841_14264_17112	scaffold2443_2
scaffold2443_size53841_21938_24277	scaffold2443_3
scaffold2443_size53841_24768_53841	scaffold2443_4
scaffold2444_size53838_1_5171	scaffold2444_1
scaffold2444_size53838_5360_53838	scaffold2444_2
scaffold2445_size53819	scaffold2445_1
scaffold2446_size53817	scaffold2446_1
scaffold2447_size53796	scaffold2447_1
scaffold2448_size53769	scaffold2448_1
scaffold2449_size53763	scaffold2449_1
scaffold2450_size53758	scaffold2450_1
scaffold2451_size53744_1_24810	scaffold2451_1
scaffold2451_size53744_25818_40852	scaffold2451_2
scaffold2451_size53744_42352_53744	scaffold2451_3
scaffold2452_size53733_1_4099	scaffold2452_1
scaffold2452_size53733_4101_53733	scaffold2452_2
scaffold2453_size53726_1_29838	scaffold2453_1
scaffold2453_size53726_31212_53726	scaffold2453_2
scaffold2454_size53708	scaffold2454_1
scaffold2455_size53705_1_20620	scaffold2455_1
scaffold2455_size53705_20951_22778	scaffold2455_2
scaffold2455_size53705_25018_53705	scaffold2455_3
scaffold2456_size53703	scaffold2456_1
scaffold2457_size53693	scaffold2457_1
scaffold2458_size53690	scaffold2458_1
scaffold2459_size53677	scaffold2459_1
scaffold2460_size53660	scaffold2460_1
scaffold2461_size53636	scaffold2461_1
scaffold2462_size53603	scaffold2462_1
scaffold2463_size53587	scaffold2463_1
scaffold2464_size53555	scaffold2464_1
scaffold2465_size53552	scaffold2465_1
scaffold2466_size53546	scaffold2466_1
scaffold2467_size53527	scaffold2467_1
scaffold2468_size53468	scaffold2468_1
scaffold2469_size53465	scaffold2469_1
scaffold2470_size53416	scaffold2470_1
scaffold2471_size53388	scaffold2471_1
scaffold2472_size53382	scaffold2472_1
scaffold2473_size53366	scaffold2473_1
scaffold2474_size53355	scaffold2474_1
scaffold2475_size53344	scaffold2475_1
scaffold2476_size53333	scaffold2476_1
scaffold2477_size53327	scaffold2477_1
scaffold2478_size53316	scaffold2478_1
scaffold2479_size53287_1_15959	scaffold2479_1
scaffold2479_size53287_17122_21587	scaffold2479_2
scaffold2479_size53287_22700_53287	scaffold2479_3
scaffold2480_size53286	scaffold2480_1
scaffold2481_size53282_1_39825	scaffold2481_1
scaffold2481_size53282_39928_53282	scaffold2481_2
scaffold2482_size53216	scaffold2482_1
scaffold2483_size53190	scaffold2483_1
scaffold2484_size53182	scaffold2484_1
scaffold2485_size53162	scaffold2485_1
scaffold2486_size53100	scaffold2486_1
scaffold2487_size53095	scaffold2487_1
scaffold2488_size53094	scaffold2488_1
scaffold2489_size53058	scaffold2489_1
scaffold2490_size53030	scaffold2490_1
scaffold2491_size53025	scaffold2491_1
scaffold2492_size53024	scaffold2492_1
scaffold2493_size53020	scaffold2493_1
scaffold2494_size52967	scaffold2494_1
scaffold2495_size52914	scaffold2495_1
scaffold2496_size52912	scaffold2496_1
scaffold2497_size52911	scaffold2497_1
scaffold2498_size52907	scaffold2498_1
scaffold2499_size52897	scaffold2499_1
scaffold2500_size52896_1_21063	scaffold2500_1
scaffold2500_size52896_22890_52896	scaffold2500_2
scaffold2501_size52895	scaffold2501_1
scaffold2502_size52889	scaffold2502_1
scaffold2503_size52863	scaffold2503_1
scaffold2504_size84376_1_29748	scaffold2504_1
scaffold2504_size84376_31514_84376	scaffold2504_2
scaffold2505_size52844_1_12120	scaffold2505_1
scaffold2505_size52844_15023_17397	scaffold2505_2
scaffold2505_size52844_17690_17810	scaffold2505_3
scaffold2505_size52844_18715_52844	scaffold2505_4
scaffold2506_size52841	scaffold2506_1
scaffold2507_size52830_1_50415	scaffold2507_1
scaffold2507_size52830_51407_52830	scaffold2507_2
scaffold2508_size52826	scaffold2508_1
scaffold2509_size52822_1_23641	scaffold2509_1
scaffold2509_size52822_24461_52822	scaffold2509_2
scaffold2510_size52817	scaffold2510_1
scaffold2511_size52777	scaffold2511_1
scaffold2512_size52762_1_38040	scaffold2512_1
scaffold2512_size52762_38042_52762	scaffold2512_2
scaffold2513_size52747	scaffold2513_1
scaffold2514_size52734	scaffold2514_1
scaffold2515_size80311_1_58271	scaffold2515_1
scaffold2515_size80311_58900_80311	scaffold2515_2
scaffold2516_size52694_1_36689	scaffold2516_1
scaffold2516_size52694_36691_43244	scaffold2516_2
scaffold2516_size52694_43246_52694	scaffold2516_3
scaffold2517_size52676	scaffold2517_1
scaffold2518_size52675_1_40708	scaffold2518_1
scaffold2518_size52675_40710_52675	scaffold2518_2
scaffold2519_size52669	scaffold2519_1
scaffold2520_size52660	scaffold2520_1
scaffold2521_size52652	scaffold2521_1
scaffold2522_size52612	scaffold2522_1
scaffold2523_size52594	scaffold2523_1
scaffold2524_size52588	scaffold2524_1
scaffold2525_size52578	scaffold2525_1
scaffold2526_size52539	scaffold2526_1
scaffold2527_size52532	scaffold2527_1
scaffold2528_size52531	scaffold2528_1
scaffold2529_size55270	scaffold2529_1
scaffold2530_size52496	scaffold2530_1
scaffold2531_size52470	scaffold2531_1
scaffold2532_size52463	scaffold2532_1
scaffold2533_size52452	scaffold2533_1
scaffold2534_size52404	scaffold2534_1
scaffold2535_size52403	scaffold2535_1
scaffold2536_size52374	scaffold2536_1
scaffold2537_size52368	scaffold2537_1
scaffold2538_size52297	scaffold2538_1
scaffold2539_size52264	scaffold2539_1
scaffold2540_size52249_1_14057	scaffold2540_1
scaffold2540_size52249_15596_52249	scaffold2540_2
scaffold2541_size52236	scaffold2541_1
scaffold2542_size52230	scaffold2542_1
scaffold2543_size52220	scaffold2543_1
scaffold2544_size52214	scaffold2544_1
scaffold2545_size52188	scaffold2545_1
scaffold2546_size52183	scaffold2546_1
scaffold2547_size52174	scaffold2547_1
scaffold2548_size57610_1_52164	scaffold2548_1
scaffold2548_size57610_52670_57610	scaffold2548_2
scaffold2549_size52142	scaffold2549_1
scaffold2550_size52133	scaffold2550_1
scaffold2551_size52133	scaffold2551_1
scaffold2552_size52107	scaffold2552_1
scaffold2553_size52078	scaffold2553_1
scaffold2554_size52067	scaffold2554_1
scaffold2555_size52054	scaffold2555_1
scaffold2556_size52052	scaffold2556_1
scaffold2557_size52032	scaffold2557_1
scaffold2558_size52031	scaffold2558_1
scaffold2559_size52028	scaffold2559_1
scaffold2560_size52017	scaffold2560_1
scaffold2561_size51996	scaffold2561_1
scaffold2562_size51984	scaffold2562_1
scaffold2563_size51945	scaffold2563_1
scaffold2564_size51922	scaffold2564_1
scaffold2565_size51911	scaffold2565_1
scaffold2566_size51888	scaffold2566_1
scaffold2567_size51878	scaffold2567_1
scaffold2568_size51815	scaffold2568_1
scaffold2569_size51812_1_24824	scaffold2569_1
scaffold2569_size51812_25430_31294	scaffold2569_2
scaffold2569_size51812_31296_51812	scaffold2569_3
scaffold2570_size51756	scaffold2570_1
scaffold2571_size51746_1_8537	scaffold2571_1
scaffold2571_size51746_8634_51746	scaffold2571_2
scaffold2572_size51700	scaffold2572_1
scaffold2573_size51687	scaffold2573_1
scaffold2574_size51654	scaffold2574_1
scaffold2575_size51640	scaffold2575_1
scaffold2576_size51636	scaffold2576_1
scaffold2577_size51634	scaffold2577_1
scaffold2578_size51633	scaffold2578_1
scaffold2579_size51602	scaffold2579_1
scaffold2580_size51565	scaffold2580_1
scaffold2581_size51540	scaffold2581_1
scaffold2582_size51499	scaffold2582_1
scaffold2583_size51488	scaffold2583_1
scaffold2584_size51478_1_16466	scaffold2584_1
scaffold2584_size51478_18419_51478	scaffold2584_2
scaffold2585_size51471	scaffold2585_1
scaffold2586_size51401	scaffold2586_1
scaffold2587_size51397	scaffold2587_1
scaffold2588_size51394	scaffold2588_1
scaffold2589_size51392	scaffold2589_1
scaffold2590_size51378	scaffold2590_1
scaffold2591_size51343_1_3147	scaffold2591_1
scaffold2591_size51343_4760_51343	scaffold2591_2
scaffold2592_size51333	scaffold2592_1
scaffold2593_size51314	scaffold2593_1
scaffold2594_size51298	scaffold2594_1
scaffold2595_size51289	scaffold2595_1
scaffold2596_size51281_1_12169	scaffold2596_1
scaffold2596_size51281_12777_51281	scaffold2596_2
scaffold2597_size51258	scaffold2597_1
scaffold2598_size51235	scaffold2598_1
scaffold2599_size51207	scaffold2599_1
scaffold2600_size51174	scaffold2600_1
scaffold2601_size51173	scaffold2601_1
scaffold2602_size51171	scaffold2602_1
scaffold2603_size51083	scaffold2603_1
scaffold2604_size51061	scaffold2604_1
scaffold2605_size51039	scaffold2605_1
scaffold2606_size51009_1_6008	scaffold2606_1
scaffold2606_size51009_7397_51009	scaffold2606_2
scaffold2607_size51007	scaffold2607_1
scaffold2608_size51005	scaffold2608_1
scaffold2609_size51000	scaffold2609_1
scaffold2610_size50967	scaffold2610_1
scaffold2611_size50959	scaffold2611_1
scaffold2612_size50951	scaffold2612_1
scaffold2613_size50947	scaffold2613_1
scaffold2614_size50924	scaffold2614_1
scaffold2615_size50923_1_23696	scaffold2615_1
scaffold2615_size50923_23809_50923	scaffold2615_2
scaffold2616_size50919	scaffold2616_1
scaffold2617_size50894	scaffold2617_1
scaffold2618_size50872	scaffold2618_1
scaffold2619_size50859	scaffold2619_1
scaffold2620_size50831	scaffold2620_1
scaffold2621_size50792	scaffold2621_1
scaffold2622_size50787	scaffold2622_1
scaffold2623_size50771	scaffold2623_1
scaffold2624_size50761	scaffold2624_1
scaffold2625_size50722	scaffold2625_1
scaffold2626_size50700	scaffold2626_1
scaffold2627_size50684	scaffold2627_1
scaffold2628_size50675	scaffold2628_1
scaffold2629_size50664	scaffold2629_1
scaffold2630_size50658	scaffold2630_1
scaffold2631_size50645	scaffold2631_1
scaffold2632_size58921	scaffold2632_1
scaffold2633_size50622	scaffold2633_1
scaffold2634_size50617	scaffold2634_1
scaffold2635_size50615	scaffold2635_1
scaffold2636_size50614	scaffold2636_1
scaffold2637_size50602	scaffold2637_1
scaffold2638_size50592	scaffold2638_1
scaffold2639_size50585	scaffold2639_1
scaffold2640_size50547	scaffold2640_1
scaffold2641_size50541	scaffold2641_1
scaffold2642_size50498	scaffold2642_1
scaffold2643_size50497	scaffold2643_1
scaffold2644_size50492	scaffold2644_1
scaffold2645_size50480	scaffold2645_1
scaffold2646_size50479	scaffold2646_1
scaffold2647_size50471	scaffold2647_1
scaffold2648_size50458	scaffold2648_1
scaffold2649_size50448	scaffold2649_1
scaffold2650_size50442	scaffold2650_1
scaffold2651_size50436	scaffold2651_1
scaffold2652_size50434_1_7283	scaffold2652_1
scaffold2652_size50434_9157_50434	scaffold2652_2
scaffold2653_size50422	scaffold2653_1
scaffold2654_size50416	scaffold2654_1
scaffold2655_size50411	scaffold2655_1
scaffold2656_size50377	scaffold2656_1
scaffold2657_size50371	scaffold2657_1
scaffold2658_size50356	scaffold2658_1
scaffold2659_size50343	scaffold2659_1
scaffold2660_size50341	scaffold2660_1
scaffold2661_size50308	scaffold2661_1
scaffold2662_size50288	scaffold2662_1
scaffold2663_size50285_1_11640	scaffold2663_1
scaffold2663_size50285_12968_50285	scaffold2663_2
scaffold2664_size50259	scaffold2664_1
scaffold2665_size50243	scaffold2665_1
scaffold2666_size58284	scaffold2666_1
scaffold2667_size50236_1_34279	scaffold2667_1
scaffold2667_size50236_35783_50236	scaffold2667_2
scaffold2668_size50217	scaffold2668_1
scaffold2669_size50189	scaffold2669_1
scaffold2670_size50183	scaffold2670_1
scaffold2671_size50177_1_31612	scaffold2671_1
scaffold2671_size50177_32185_33879	scaffold2671_2
scaffold2671_size50177_38467_40346	scaffold2671_3
scaffold2671_size50177_40422_50177	scaffold2671_4
scaffold2672_size50173	scaffold2672_1
scaffold2673_size50156_1_19710	scaffold2673_1
scaffold2673_size50156_20768_50156	scaffold2673_2
scaffold2674_size50095	scaffold2674_1
scaffold2675_size50089	scaffold2675_1
scaffold2676_size50072	scaffold2676_1
scaffold2677_size50068	scaffold2677_1
scaffold2678_size50045	scaffold2678_1
scaffold2679_size50038	scaffold2679_1
scaffold2680_size50008	scaffold2680_1
scaffold2681_size50005	scaffold2681_1
scaffold2682_size49998_1_11750	scaffold2682_1
scaffold2682_size49998_12553_49998	scaffold2682_2
scaffold2683_size49991	scaffold2683_1
scaffold2684_size49989	scaffold2684_1
scaffold2685_size49986	scaffold2685_1
scaffold2686_size49951	scaffold2686_1
scaffold2687_size49919	scaffold2687_1
scaffold2688_size49851	scaffold2688_1
scaffold2689_size49846	scaffold2689_1
scaffold2690_size49807_1_30973	scaffold2690_1
scaffold2690_size49807_32761_49807	scaffold2690_2
scaffold2691_size49797	scaffold2691_1
scaffold2692_size49794	scaffold2692_1
scaffold2693_size49779	scaffold2693_1
scaffold2694_size49765_1_25016	scaffold2694_1
scaffold2694_size49765_26951_49765	scaffold2694_2
scaffold2695_size57163	scaffold2695_1
scaffold2696_size49748	scaffold2696_1
scaffold2697_size49739	scaffold2697_1
scaffold2698_size49728	scaffold2698_1
scaffold2699_size49709	scaffold2699_1
scaffold2700_size49695_1_20029	scaffold2700_1
scaffold2700_size49695_20037_49695	scaffold2700_2
scaffold2701_size49679	scaffold2701_1
scaffold2702_size49667	scaffold2702_1
scaffold2703_size49661	scaffold2703_1
scaffold2704_size49608	scaffold2704_1
scaffold2705_size49600	scaffold2705_1
scaffold2706_size49591	scaffold2706_1
scaffold2707_size49586	scaffold2707_1
scaffold2708_size49568	scaffold2708_1
scaffold2709_size49550	scaffold2709_1
scaffold2710_size49540	scaffold2710_1
scaffold2711_size49535	scaffold2711_1
scaffold2712_size49528	scaffold2712_1
scaffold2713_size49487	scaffold2713_1
scaffold2714_size49475	scaffold2714_1
scaffold2715_size49472_1_5411	scaffold2715_1
scaffold2715_size49472_7591_49472	scaffold2715_2
scaffold2716_size49463	scaffold2716_1
scaffold2717_size49443	scaffold2717_1
scaffold2718_size49428	scaffold2718_1
scaffold2719_size49423	scaffold2719_1
scaffold2720_size49407	scaffold2720_1
scaffold2721_size49363	scaffold2721_1
scaffold2722_size49363	scaffold2722_1
scaffold2723_size49362	scaffold2723_1
scaffold2724_size49361	scaffold2724_1
scaffold2725_size49358	scaffold2725_1
scaffold2726_size49349	scaffold2726_1
scaffold2727_size49337	scaffold2727_1
scaffold2728_size49300	scaffold2728_1
scaffold2729_size49294	scaffold2729_1
scaffold2730_size49252	scaffold2730_1
scaffold2731_size49215	scaffold2731_1
scaffold2732_size49206	scaffold2732_1
scaffold2733_size49172	scaffold2733_1
scaffold2734_size49160	scaffold2734_1
scaffold2735_size49139_1_25475	scaffold2735_1
scaffold2735_size49139_25477_49139	scaffold2735_2
scaffold2736_size49137	scaffold2736_1
scaffold2737_size49126	scaffold2737_1
scaffold2738_size49113	scaffold2738_1
scaffold2739_size49070	scaffold2739_1
scaffold2740_size49060_1_38960	scaffold2740_1
scaffold2740_size49060_40602_49060	scaffold2740_2
scaffold2741_size49058	scaffold2741_1
scaffold2742_size49025	scaffold2742_1
scaffold2743_size49018	scaffold2743_1
scaffold2744_size49012	scaffold2744_1
scaffold2745_size48997	scaffold2745_1
scaffold2746_size48953	scaffold2746_1
scaffold2747_size48948	scaffold2747_1
scaffold2748_size48937	scaffold2748_1
scaffold2749_size48928	scaffold2749_1
scaffold2750_size48924	scaffold2750_1
scaffold2751_size63633_1_13007	scaffold2751_1
scaffold2751_size63633_14722_63633	scaffold2751_2
scaffold2752_size48908	scaffold2752_1
scaffold2753_size48908_1_9523	scaffold2753_1
scaffold2753_size48908_9525_10979	scaffold2753_2
scaffold2753_size48908_17201_18635	scaffold2753_3
scaffold2753_size48908_25966_48908	scaffold2753_4
scaffold2754_size48894	scaffold2754_1
scaffold2755_size48887	scaffold2755_1
scaffold2756_size48869	scaffold2756_1
scaffold2757_size48866	scaffold2757_1
scaffold2758_size48836	scaffold2758_1
scaffold2759_size48834	scaffold2759_1
scaffold2760_size48814	scaffold2760_1
scaffold2761_size48814	scaffold2761_1
scaffold2762_size48751	scaffold2762_1
scaffold2763_size48732	scaffold2763_1
scaffold2764_size48719	scaffold2764_1
scaffold2765_size48716	scaffold2765_1
scaffold2766_size48654	scaffold2766_1
scaffold2767_size63953_1_48646	scaffold2767_1
scaffold2767_size63953_48930_63953	scaffold2767_2
scaffold2768_size48627	scaffold2768_1
scaffold2769_size48622	scaffold2769_1
scaffold2770_size48618	scaffold2770_1
scaffold2771_size48600	scaffold2771_1
scaffold2772_size48593	scaffold2772_1
scaffold2773_size48588	scaffold2773_1
scaffold2774_size48582	scaffold2774_1
scaffold2775_size48580	scaffold2775_1
scaffold2776_size48564	scaffold2776_1
scaffold2777_size48554	scaffold2777_1
scaffold2778_size48524	scaffold2778_1
scaffold2779_size48499	scaffold2779_1
scaffold2780_size48495	scaffold2780_1
scaffold2781_size48476	scaffold2781_1
scaffold2782_size48401	scaffold2782_1
scaffold2783_size48400	scaffold2783_1
scaffold2784_size48387	scaffold2784_1
scaffold2785_size93601_1_48383	scaffold2785_1
scaffold2785_size93601_49808_93601	scaffold2785_2
scaffold2786_size63629_1_44817	scaffold2786_1
scaffold2786_size63629_46505_48357	scaffold2786_2
scaffold2786_size63629_50122_63629	scaffold2786_3
scaffold2787_size48347	scaffold2787_1
scaffold2788_size48346	scaffold2788_1
scaffold2789_size48327	scaffold2789_1
scaffold2790_size48297	scaffold2790_1
scaffold2791_size48289	scaffold2791_1
scaffold2792_size48289	scaffold2792_1
scaffold2793_size48277	scaffold2793_1
scaffold2794_size48270	scaffold2794_1
scaffold2795_size48264	scaffold2795_1
scaffold2796_size48261	scaffold2796_1
scaffold2797_size48228	scaffold2797_1
scaffold2798_size48221	scaffold2798_1
scaffold2799_size48219	scaffold2799_1
scaffold2800_size48206	scaffold2800_1
scaffold2801_size48205	scaffold2801_1
scaffold2802_size48180	scaffold2802_1
scaffold2803_size48176	scaffold2803_1
scaffold2804_size48160	scaffold2804_1
scaffold2805_size48150_1_26651	scaffold2805_1
scaffold2805_size48150_26653_48150	scaffold2805_2
scaffold2806_size48134	scaffold2806_1
scaffold2807_size48127	scaffold2807_1
scaffold2808_size48126	scaffold2808_1
scaffold2809_size48125	scaffold2809_1
scaffold2810_size48106_1_7990	scaffold2810_1
scaffold2810_size48106_7992_48106	scaffold2810_2
scaffold2811_size48101	scaffold2811_1
scaffold2812_size48097_1_1541	scaffold2812_1
scaffold2812_size48097_2231_48097	scaffold2812_2
scaffold2813_size48038	scaffold2813_1
scaffold2814_size48022	scaffold2814_1
scaffold2815_size48009	scaffold2815_1
scaffold2816_size47997	scaffold2816_1
scaffold2817_size47990	scaffold2817_1
scaffold2818_size47988_1_34060	scaffold2818_1
scaffold2818_size47988_36049_47988	scaffold2818_2
scaffold2819_size47978	scaffold2819_1
scaffold2820_size47978	scaffold2820_1
scaffold2821_size47976	scaffold2821_1
scaffold2822_size47976	scaffold2822_1
scaffold2823_size47946	scaffold2823_1
scaffold2824_size47937	scaffold2824_1
scaffold2825_size47875	scaffold2825_1
scaffold2826_size47874	scaffold2826_1
scaffold2827_size47818	scaffold2827_1
scaffold2828_size47812	scaffold2828_1
scaffold2829_size47783	scaffold2829_1
scaffold2830_size47769	scaffold2830_1
scaffold2831_size47727	scaffold2831_1
scaffold2832_size47726	scaffold2832_1
scaffold2833_size47708	scaffold2833_1
scaffold2834_size47706	scaffold2834_1
scaffold2835_size47687	scaffold2835_1
scaffold2836_size47660	scaffold2836_1
scaffold2837_size47659	scaffold2837_1
scaffold2838_size47658	scaffold2838_1
scaffold2839_size47648	scaffold2839_1
scaffold2840_size47634	scaffold2840_1
scaffold2841_size47626	scaffold2841_1
scaffold2842_size47598	scaffold2842_1
scaffold2843_size47569	scaffold2843_1
scaffold2844_size47527	scaffold2844_1
scaffold2845_size47495	scaffold2845_1
scaffold2846_size47491	scaffold2846_1
scaffold2847_size47470	scaffold2847_1
scaffold2848_size47445	scaffold2848_1
scaffold2849_size47437	scaffold2849_1
scaffold2850_size47434	scaffold2850_1
scaffold2851_size47426	scaffold2851_1
scaffold2852_size47413	scaffold2852_1
scaffold2853_size47389	scaffold2853_1
scaffold2854_size47375	scaffold2854_1
scaffold2855_size47371	scaffold2855_1
scaffold2856_size47356_1_22497	scaffold2856_1
scaffold2856_size47356_23096_47356	scaffold2856_2
scaffold2857_size47336	scaffold2857_1
scaffold2858_size47328	scaffold2858_1
scaffold2859_size47326	scaffold2859_1
scaffold2860_size47319	scaffold2860_1
scaffold2861_size47317_1_13163	scaffold2861_1
scaffold2861_size47317_14550_47317	scaffold2861_2
scaffold2862_size47289	scaffold2862_1
scaffold2863_size47282	scaffold2863_1
scaffold2864_size47282	scaffold2864_1
scaffold2865_size47261	scaffold2865_1
scaffold2866_size47258	scaffold2866_1
scaffold2867_size47254	scaffold2867_1
scaffold2868_size47229	scaffold2868_1
scaffold2869_size47224	scaffold2869_1
scaffold2870_size47218	scaffold2870_1
scaffold2871_size47211	scaffold2871_1
scaffold2872_size47208	scaffold2872_1
scaffold2873_size47202	scaffold2873_1
scaffold2874_size47162	scaffold2874_1
scaffold2875_size47147	scaffold2875_1
scaffold2876_size47130	scaffold2876_1
scaffold2877_size47116	scaffold2877_1
scaffold2878_size47115_1_41448	scaffold2878_1
