scaffold	pos	zscore	pvalue	adjpvalue	beta	FDRpvalue	absBetax1000
scaffold1056_size92170	58975	-5.369623552	3.62E-06	9.41E-06	-0.000220425	0.04008827	2.20E-01
scaffold1056_size92170	59969	5.274902462	4.91E-06	1.35E-05	0.000237254	0.047092111	2.37E-01
scaffold1056_size92170	60697	5.632332376	1.55E-06	3.37E-06	0.000219419	0.025102776	2.19E-01
scaffold1056_size92170	61575	5.235779303	5.57E-06	1.56E-05	0.000175956	0.049786604	1.76E-01
scaffold1056_size92170	61808	-5.994078582	4.82E-07	7.59E-07	-0.000224312	0.012467936	2.24E-01
scaffold1056_size92170	69281	-5.81108953	8.71E-07	1.63E-06	-0.000195458	0.017251642	1.95E-01
scaffold1056_size92170	73059	5.359778535	3.74E-06	9.77E-06	0.000118084	0.040652599	1.18E-01
scaffold1061_size92016	65276	5.425534343	3.03E-06	7.59E-06	9.34E-05	0.036318484	9.34E-02
scaffold1063_size92000	14579	5.270439784	4.98E-06	1.37E-05	8.44E-05	0.047491429	8.44E-02
scaffold1072_size91524	5855	-5.668912602	1.38E-06	2.91E-06	-0.000117499	0.023187169	1.17E-01
scaffold1072_size91524	5867	-5.859041498	7.46E-07	1.34E-06	-0.000113147	0.015850208	1.13E-01
scaffold1072_size91524	5905	-5.687336661	1.30E-06	2.70E-06	-0.000106627	0.022267508	1.07E-01
scaffold1076_size91237_1_84455	65511	5.357947145	3.76E-06	9.84E-06	0.00011078	0.040782182	1.11E-01
scaffold1076_size91237_1_84455	80522	-5.539896189	2.09E-06	4.86E-06	-2.75E-05	0.029758473	2.75E-02
scaffold1090_size90519_1_82767	17627	5.436016741	2.93E-06	7.29E-06	0.000183998	0.035628819	1.84E-01
scaffold1090_size90519_1_82767	24404	5.539410377	2.10E-06	4.87E-06	0.000180778	0.029758473	1.81E-01
scaffold1090_size90519_1_82767	24447	5.255309545	5.23E-06	1.45E-05	0.000182239	0.04852941	1.82E-01
scaffold1090_size90519_1_82767	24506	5.718945537	1.17E-06	2.37E-06	0.00019522	0.020923222	1.95E-01
scaffold1090_size90519_1_82767	24508	5.718945537	1.17E-06	2.37E-06	0.00019522	0.020923222	1.95E-01
scaffold1090_size90519_1_82767	24708	5.440603069	2.88E-06	7.16E-06	0.000194097	0.035246402	1.94E-01
scaffold1090_size90519_1_82767	24889	6.228488204	2.26E-07	2.76E-07	0.000205083	0.00738318	2.05E-01
scaffold1090_size90519_1_82767	24919	5.232392682	5.63E-06	1.58E-05	0.000187211	0.049949462	1.87E-01
scaffold1090_size90519_1_82767	24925	5.488011735	2.47E-06	5.95E-06	0.000172844	0.0321223	1.73E-01
scaffold1090_size90519_1_82767	24977	5.504955296	2.34E-06	5.57E-06	0.000201098	0.031271247	2.01E-01
scaffold1090_size90519_1_82767	24978	5.504955296	2.34E-06	5.57E-06	0.000201098	0.031271247	2.01E-01
scaffold1090_size90519_1_82767	25097	5.496735067	2.41E-06	5.75E-06	0.000196972	0.031622874	1.97E-01
scaffold1090_size90519_1_82767	25102	5.552428388	2.01E-06	4.62E-06	0.000191008	0.028814057	1.91E-01
scaffold1090_size90519_1_82767	25147	5.798492553	9.07E-07	1.72E-06	0.000196233	0.017748079	1.96E-01
scaffold1090_size90519_1_82767	25158	5.734550301	1.12E-06	2.23E-06	0.00019447	0.020435659	1.94E-01
scaffold1090_size90519_1_82767	25380	6.098647771	3.43E-07	4.86E-07	0.00022227	0.009995962	2.22E-01
scaffold1090_size90519_1_82767	25388	5.75435375	1.05E-06	2.06E-06	0.000224115	0.019625133	2.24E-01
scaffold1090_size90519_1_82767	25389	5.75435375	1.05E-06	2.06E-06	0.000224115	0.019625133	2.24E-01
scaffold1090_size90519_1_82767	25411	5.502740311	2.36E-06	5.62E-06	0.00021767	0.031358228	2.18E-01
scaffold1090_size90519_1_82767	25458	5.5415203	2.08E-06	4.83E-06	0.000216823	0.029679911	2.17E-01
scaffold1090_size90519_1_82767	25536	5.269698825	5.00E-06	1.37E-05	0.000219113	0.047561057	2.19E-01
scaffold1090_size90519_1_82767	25626	5.235017346	5.58E-06	1.57E-05	0.000216718	0.049840661	2.17E-01
scaffold1090_size90519_1_82767	28832	5.292688853	4.64E-06	1.26E-05	0.000196979	0.045805739	1.97E-01
scaffold1090_size90519_1_82767	28855	5.944232589	5.66E-07	9.37E-07	0.000216797	0.01343788	2.17E-01
scaffold1090_size90519_1_82767	28883	5.638497331	1.52E-06	3.28E-06	0.000214419	0.024846032	2.14E-01
scaffold1090_size90519_1_82767	28888	5.453699435	2.76E-06	6.80E-06	0.000219927	0.034458785	2.20E-01
scaffold1092_size90512	70900	-5.296304627	4.59E-06	1.24E-05	-8.21E-05	0.045469995	8.21E-02
scaffold1093_size90472_1_53327	5592	-6.169695577	2.73E-07	3.57E-07	-2.71E-05	0.00841367	2.71E-02
scaffold1095_size90384_54515_90384	27859	-5.231410935	5.65E-06	1.59E-05	-0.000117345	0.049964012	1.17E-01
scaffold1099_size90080	61749	5.543709823	2.07E-06	4.78E-06	0.000196107	0.0295116	1.96E-01
scaffold1103_size89916	10872	5.281438268	4.81E-06	1.31E-05	0.000109028	0.04653423	1.09E-01
scaffold1103_size89916	89304	-5.353280886	3.82E-06	1.00E-05	-0.000128115	0.041154154	1.28E-01
scaffold1115_size103148	8807	-5.846022287	7.78E-07	1.41E-06	-0.000102858	0.016197417	1.03E-01
scaffold1118_size89434	26215	-5.322828903	4.21E-06	1.12E-05	-9.12E-05	0.043428569	9.12E-02
scaffold1130_size89026	28352	5.457775651	2.73E-06	6.70E-06	0.000123721	0.034115544	1.24E-01
scaffold1133_size88726	6901	-5.349211378	3.87E-06	1.02E-05	-0.000116593	0.041354415	1.17E-01
scaffold1133_size88726	6928	-5.245855716	5.39E-06	1.50E-05	-7.24E-05	0.049075568	7.24E-02
scaffold1133_size88726	7043	-5.244371659	5.42E-06	1.51E-05	-6.51E-05	0.049169376	6.51E-02
scaffold1133_size88726	7074	-5.28743903	4.72E-06	1.29E-05	-8.05E-05	0.046071083	8.05E-02
scaffold1133_size88726	7083	-5.367088216	3.65E-06	9.50E-06	-7.60E-05	0.04025531	7.60E-02
scaffold1133_size88726	7133	-5.273070308	4.94E-06	1.36E-05	-7.01E-05	0.0472458	7.01E-02
scaffold1145_size87734	70130	-5.556042341	1.99E-06	4.56E-06	-5.52E-05	0.02864709	5.52E-02
scaffold1150_size87566	34793	-5.464085827	2.67E-06	6.53E-06	-0.00013638	0.033566612	1.36E-01
scaffold1157_size87321	29985	5.987622396	4.92E-07	7.80E-07	6.59E-05	0.012557561	6.59E-02
scaffold1162_size87114	1370	-5.473791683	2.59E-06	6.29E-06	-0.000101325	0.033068118	1.01E-01
scaffold1162_size87114	14597	-5.38358557	3.46E-06	8.92E-06	-4.61E-05	0.039120724	4.61E-02
scaffold1162_size87114	24778	-5.41520866	3.13E-06	7.90E-06	-0.000121408	0.037045858	1.21E-01
scaffold1166_size86937_79825_86937	3073	5.782617319	9.55E-07	1.83E-06	9.56E-05	0.018445755	9.56E-02
scaffold1166_size86937_79825_86937	3076	5.497041226	2.40E-06	5.75E-06	9.39E-05	0.031622874	9.39E-02
scaffold1175_size86786	20744	-5.594346848	1.76E-06	3.92E-06	-0.000153092	0.026926879	1.53E-01
scaffold1179_size86596	79994	5.250110721	5.32E-06	1.48E-05	8.23E-05	0.048733717	8.23E-02
scaffold1180_size86591	24662	5.504744354	2.34E-06	5.58E-06	0.000171091	0.031276425	1.71E-01
scaffold1180_size86591	42411	-5.964038919	5.31E-07	8.62E-07	-8.11E-05	0.013082149	8.11E-02
scaffold1183_size86479	32371	5.534282114	2.13E-06	4.97E-06	0.000184607	0.029904111	1.85E-01
scaffold1186_size86276	7424	-5.613470256	1.65E-06	3.63E-06	-4.49E-05	0.025924861	4.49E-02
scaffold1188_size89006	5125	5.538692695	2.10E-06	4.88E-06	8.20E-05	0.029758473	8.20E-02
scaffold1188_size89006	5199	6.053591931	3.97E-07	5.89E-07	8.93E-05	0.011066035	8.93E-02
scaffold1188_size89006	5211	5.521679089	2.22E-06	5.22E-06	8.38E-05	0.030529567	8.38E-02
scaffold1188_size89006	5613	5.6688351	1.38E-06	2.91E-06	8.34E-05	0.023187169	8.34E-02
scaffold1188_size89006	5734	5.409933789	3.18E-06	8.06E-06	9.14E-05	0.037413535	9.14E-02
scaffold1188_size89006	5765	5.42751002	3.01E-06	7.53E-06	9.69E-05	0.036128972	9.69E-02
scaffold1188_size89006	5777	5.498471909	2.39E-06	5.71E-06	0.000103922	0.031600741	1.04E-01
scaffold1188_size89006	5829	5.837881204	7.99E-07	1.46E-06	8.67E-05	0.016416177	8.67E-02
scaffold1188_size89006	5831	5.837881204	7.99E-07	1.46E-06	8.67E-05	0.016416177	8.67E-02
scaffold1188_size89006	5835	5.781004698	9.60E-07	1.84E-06	8.20E-05	0.018510113	8.20E-02
scaffold1188_size89006	5844	5.372152461	3.59E-06	9.32E-06	7.83E-05	0.039952324	7.83E-02
scaffold1188_size89006	6578	5.716384501	1.18E-06	2.40E-06	0.000103287	0.020973069	1.03E-01
scaffold1188_size89006	6673	5.502919061	2.36E-06	5.62E-06	9.35E-05	0.031353543	9.35E-02
scaffold1188_size89006	6718	5.720624146	1.17E-06	2.36E-06	9.21E-05	0.020908757	9.21E-02
scaffold1188_size89006	6853	5.311622096	4.37E-06	1.17E-05	6.64E-05	0.044194485	6.64E-02
scaffold1188_size89006	6989	5.535332007	2.12E-06	4.94E-06	0.000103215	0.029902931	1.03E-01
scaffold1188_size89006	7059	6.095315918	3.47E-07	4.93E-07	0.000118561	0.010006008	1.19E-01
scaffold1188_size89006	83987	-6.258933125	2.04E-07	2.42E-07	-0.000109891	0.00667895	1.10E-01
scaffold1189_size86026_1_39022	30672	-6.855020658	2.99E-08	1.55E-08	-7.59E-05	0.001253362	7.59E-02
scaffold1189_size86026_1_39022	30753	-7.108835557	1.32E-08	4.48E-09	-7.79E-05	0.000700886	7.79E-02
scaffold1189_size86026_1_39022	30781	-7.040886508	1.65E-08	6.27E-09	-6.23E-05	0.000764378	6.23E-02
scaffold1189_size86026_1_39022	30796	-5.606252811	1.69E-06	3.73E-06	-5.69E-05	0.026285183	5.69E-02
scaffold1189_size86026_1_39022	30798	-5.606252811	1.69E-06	3.73E-06	-5.69E-05	0.026285183	5.69E-02
scaffold1193_size85980	22791	-5.294561356	4.61E-06	1.25E-05	-9.44E-05	0.045658879	9.44E-02
scaffold1194_size85901	29205	-5.386896129	3.43E-06	8.80E-06	-3.50E-05	0.039008634	3.50E-02
scaffold1202_size85694_43425_85694	41975	-5.26704083	5.04E-06	1.39E-05	-7.85E-05	0.047793831	7.85E-02
scaffold1206_size85479	13831	-5.296540859	4.58E-06	1.24E-05	-7.13E-05	0.045447692	7.13E-02
scaffold1206_size85479	13848	-5.44744559	2.82E-06	6.97E-06	-0.00010928	0.034848157	1.09E-01
scaffold1206_size85479	14624	-5.331339924	4.10E-06	1.09E-05	-7.73E-05	0.04277109	7.73E-02
scaffold1207_size85464	3212	-5.629233964	1.57E-06	3.41E-06	-6.71E-05	0.025254956	6.71E-02
scaffold1209_size85268	45148	-5.756126376	1.04E-06	2.04E-06	-6.02E-05	0.019584702	6.02E-02
scaffold1216_size113001_28311_113001	57594	-5.274149142	4.92E-06	1.35E-05	-3.86E-05	0.047160691	3.86E-02
scaffold1216_size113001_28311_113001	59161	5.401455954	3.27E-06	8.32E-06	7.49E-05	0.038091003	7.49E-02
scaffold1217_size84671	22300	-5.441313067	2.88E-06	7.14E-06	-7.22E-05	0.035201271	7.22E-02
scaffold1237_size83987	67920	-5.897301133	6.59E-07	1.14E-06	-0.000107523	0.014824402	1.08E-01
scaffold1237_size83987	67929	-6.024760177	4.36E-07	6.66E-07	-0.000103709	0.011755778	1.04E-01
scaffold1237_size83987	67946	-5.951368684	5.53E-07	9.09E-07	-0.000101647	0.013260565	1.02E-01
scaffold1237_size83987	67952	-6.154178623	2.87E-07	3.82E-07	-1.00E-04	0.008696534	1.00E-01
scaffold1239_size83911	47046	-5.407303657	3.21E-06	8.14E-06	-3.01E-05	0.037562969	3.01E-02
scaffold1246_size83655_38705_83655	4593	-5.497525913	2.40E-06	5.74E-06	-8.46E-05	0.031622874	8.46E-02
scaffold1249_size83511	38796	-5.350861904	3.85E-06	1.01E-05	-5.32E-05	0.041238962	5.32E-02
scaffold1249_size83511	50101	-5.330100926	4.11E-06	1.09E-05	-8.20E-05	0.042909785	8.20E-02
scaffold1249_size83511	50133	-5.641039525	1.51E-06	3.25E-06	-0.000104426	0.0246932	1.04E-01
scaffold1249_size83511	50161	-5.618637581	1.62E-06	3.55E-06	-0.000108842	0.025725466	1.09E-01
scaffold1249_size83511	50244	-6.313158472	1.72E-07	1.90E-07	-0.000128484	0.005943254	1.28E-01
scaffold1254_size83409	6927	-5.249542496	5.33E-06	1.48E-05	-0.000134815	0.048740585	1.35E-01
scaffold1260_size83201	82522	-5.362574235	3.71E-06	9.66E-06	-9.01E-05	0.040475812	9.01E-02
scaffold1275_size82645_28709_75251	14199	5.377579223	3.53E-06	9.12E-06	5.92E-05	0.039592068	5.92E-02
scaffold1282_size82380	6209	-5.670697277	1.37E-06	2.89E-06	-0.000145716	0.023102026	1.46E-01
scaffold1282_size82380	44569	-5.966552857	5.27E-07	8.53E-07	-6.43E-05	0.01304039	6.43E-02
scaffold1282_size82380	44621	-5.779303225	9.66E-07	1.86E-06	-5.61E-05	0.018550697	5.61E-02
scaffold1283_size82227	16923	-5.416304239	3.12E-06	7.86E-06	-0.000103342	0.036981153	1.03E-01
scaffold1295_size81906_6048_81906	21643	5.954109728	5.48E-07	8.99E-07	0.000189385	0.013176157	1.89E-01
scaffold1296_size81891_25633_81891	31221	-5.620475549	1.61E-06	3.53E-06	-0.000143819	0.025711445	1.44E-01
scaffold1299_size126161	71055	-5.293199704	4.63E-06	1.26E-05	-3.42E-05	0.045805739	3.42E-02
scaffold1302_size81767	26227	-5.30583968	4.45E-06	1.20E-05	-0.000127154	0.044575397	1.27E-01
scaffold1303_size81717	77012	5.563262443	1.94E-06	4.43E-06	9.97E-05	0.028374768	9.97E-02
scaffold1309_size81585	303	-5.412063726	3.16E-06	7.99E-06	-7.08E-05	0.037223171	7.08E-02
scaffold1309_size81585	3388	-5.30895237	4.40E-06	1.18E-05	-7.89E-05	0.044350326	7.89E-02
scaffold1315_size84837	18163	-5.357583516	3.77E-06	9.85E-06	-0.000107292	0.040782182	1.07E-01
scaffold1315_size84837	21061	-5.481452761	2.53E-06	6.11E-06	-5.73E-05	0.032437138	5.73E-02
scaffold1315_size84837	21881	-5.652872063	1.45E-06	3.10E-06	-2.17E-05	0.023974643	2.17E-02
scaffold1326_size80910	52349	5.680335197	1.33E-06	2.78E-06	0.000108653	0.022699463	1.09E-01
scaffold1328_size80864	76134	-7.123239333	1.26E-08	4.17E-09	-9.55E-05	0.000672467	9.55E-02
scaffold1329_size80848	66099	5.388695114	3.41E-06	8.74E-06	0.000163538	0.038878033	1.64E-01
scaffold1329_size80848	74137	5.85279536	7.61E-07	1.37E-06	0.000150183	0.016045946	1.50E-01
scaffold1331_size80816	36999	5.861946367	7.39E-07	1.32E-06	9.91E-05	0.015822539	9.91E-02
scaffold1331_size80816	37006	6.33065527	1.62E-07	1.76E-07	0.000107036	0.005791686	1.07E-01
scaffold1331_size80816	37008	5.927117671	5.98E-07	1.01E-06	9.18E-05	0.013935895	9.18E-02
scaffold1331_size80816	37017	5.947233755	5.61E-07	9.25E-07	0.000110345	0.013370295	1.10E-01
scaffold1331_size80816	37022	5.747283696	1.07E-06	2.12E-06	9.80E-05	0.019844096	9.80E-02
scaffold1332_size80757	19976	-5.559118649	1.97E-06	4.50E-06	-0.000133203	0.028448849	1.33E-01
scaffold1339_size80606	62724	5.562778608	1.94E-06	4.44E-06	0.000134118	0.028374768	1.34E-01
scaffold1339_size80606	62861	-5.418671578	3.09E-06	7.79E-06	-7.98E-05	0.036876692	7.98E-02
scaffold1339_size80606	63075	6.38053508	1.38E-07	1.41E-07	0.00012388	0.00505815	1.24E-01
scaffold1339_size80606	63216	5.256516524	5.21E-06	1.44E-05	0.00010091	0.04852941	1.01E-01
scaffold1339_size80606	63220	5.256516524	5.21E-06	1.44E-05	0.00010091	0.04852941	1.01E-01
scaffold1372_size79155	44110	-6.09775318	3.44E-07	4.88E-07	-0.00011662	0.009995962	1.17E-01
scaffold1375_size79094	4854	5.264609927	5.08E-06	1.40E-05	0.000137177	0.047988408	1.37E-01
scaffold1375_size79094	4954	6.233196272	2.22E-07	2.71E-07	0.000113783	0.007250579	1.14E-01
scaffold1383_size80448	19736	-6.153808813	2.87E-07	3.83E-07	-9.27E-05	0.008696534	9.27E-02
scaffold1387_size78718	51371	-5.86282456	7.37E-07	1.32E-06	-9.88E-05	0.015822539	9.88E-02
scaffold1387_size78718	51383	-5.762344965	1.02E-06	1.99E-06	-9.83E-05	0.019276339	9.83E-02
scaffold1387_size78718	52043	-5.611346203	1.66E-06	3.66E-06	-6.74E-05	0.02603711	6.74E-02
scaffold1388_size78696	1259	7.307182519	7.03E-09	1.65E-09	0.000131842	0.000409239	1.32E-01
scaffold1389_size78681	30998	-6.766927413	3.96E-08	2.36E-08	-9.37E-05	0.001694158	9.37E-02
scaffold1399_size78301	16890	-5.968106885	5.24E-07	8.47E-07	-0.000111058	0.013017059	1.11E-01
scaffold1399_size78301	33326	-5.878024476	7.02E-07	1.24E-06	-0.000180715	0.015403082	1.81E-01
scaffold1400_size78299	13505	-5.269363626	5.00E-06	1.38E-05	-8.37E-05	0.047605331	8.37E-02
scaffold1407_size78127_44210_78127	32811	-5.525156157	2.19E-06	5.15E-06	-0.000108386	0.030352809	1.08E-01
scaffold1412_size78034	42754	-5.336085381	4.04E-06	1.07E-05	-0.000134742	0.042324688	1.35E-01
scaffold1430_size77509	46980	-5.41445794	3.14E-06	7.92E-06	-5.49E-05	0.037045858	5.49E-02
scaffold1434_size77417	3386	-5.90402682	6.45E-07	1.11E-06	-6.61E-05	0.014631822	6.61E-02
scaffold1441_size77279	66988	5.798675677	9.07E-07	1.72E-06	8.98E-05	0.017748079	8.98E-02
scaffold1443_size77266	71339	-5.502129882	2.36E-06	5.63E-06	-0.0001429	0.031366964	1.43E-01
scaffold1452_size76902	44006	5.28556352	4.75E-06	1.29E-05	0.000167569	0.04617631	1.68E-01
scaffold1452_size76902	57007	-5.585621447	1.81E-06	4.05E-06	-0.000117868	0.027302803	1.18E-01
scaffold1452_size76902	57483	-5.465392439	2.66E-06	6.50E-06	-0.000148447	0.033527983	1.48E-01
scaffold1455_size76788	32977	-5.614724724	1.64E-06	3.61E-06	-0.000130161	0.025899854	1.30E-01
scaffold1460_size76615	11445	-5.417477955	3.11E-06	7.83E-06	-7.13E-05	0.036896911	7.13E-02
scaffold1460_size76615	30300	-5.242806543	5.45E-06	1.52E-05	-0.000107232	0.049337844	1.07E-01
scaffold1460_size76615	30344	-5.243723519	5.43E-06	1.51E-05	-0.000109526	0.049227712	1.10E-01
scaffold1460_size76615	31058	5.521872128	2.22E-06	5.21E-06	0.000119121	0.030523482	1.19E-01
scaffold1468_size76487	29414	-5.5783569	1.85E-06	4.17E-06	-3.96E-05	0.027761731	3.96E-02
scaffold1475_size76371_1_56770	13248	-5.37514506	3.56E-06	9.21E-06	-9.90E-05	0.039734589	9.90E-02
scaffold1481_size76258	14147	-5.85034514	7.67E-07	1.39E-06	-9.36E-05	0.016137001	9.36E-02
scaffold1481_size76258	37641	-5.364289315	3.69E-06	9.60E-06	-0.00010585	0.040372705	1.06E-01
scaffold1481_size76258	53434	-5.659640688	1.42E-06	3.02E-06	-7.57E-05	0.023692222	7.57E-02
scaffold1485_size76128	56437	5.609471067	1.67E-06	3.69E-06	9.15E-05	0.026108273	9.15E-02
scaffold1485_size76128	73787	-5.307454328	4.42E-06	1.19E-05	-6.03E-05	0.044445697	6.03E-02
scaffold1489_size76083	45278	5.468567462	2.63E-06	6.42E-06	0.000186651	0.033388578	1.87E-01
scaffold1489_size76083	45288	5.390651636	3.39E-06	8.68E-06	0.000190413	0.038793384	1.90E-01
scaffold1493_size75913	27050	-5.346014912	3.91E-06	1.03E-05	-9.92E-05	0.041619131	9.92E-02
scaffold1496_size75838_38973_75838	26478	-5.329049409	4.13E-06	1.10E-05	-6.84E-05	0.042973112	6.84E-02
scaffold1499_size75804	61089	5.447740495	2.82E-06	6.96E-06	0.000143019	0.034848157	1.43E-01
scaffold1499_size75804	61103	5.344831833	3.92E-06	1.03E-05	0.00014272	0.041678539	1.43E-01
scaffold1499_size75804	61485	5.23512173	5.58E-06	1.56E-05	0.00011644	0.049840661	1.16E-01
scaffold1499_size75804	62125	5.529509592	2.16E-06	5.06E-06	0.000127812	0.030194821	1.28E-01
scaffold1499_size75804	62139	5.404372745	3.24E-06	8.23E-06	0.000121207	0.037821195	1.21E-01
scaffold1499_size75804	62878	-6.256344367	2.06E-07	2.44E-07	-8.37E-05	0.006720166	8.37E-02
scaffold1499_size75804	63287	5.923165621	6.06E-07	1.02E-06	0.000175982	0.01407329	1.76E-01
scaffold1499_size75804	63485	5.958660121	5.40E-07	8.82E-07	0.000201117	0.013138812	2.01E-01
scaffold1499_size75804	63780	-5.947397369	5.60E-07	9.24E-07	-0.000175492	0.013370295	1.75E-01
scaffold1499_size75804	63829	-6.294514113	1.82E-07	2.06E-07	-0.000148741	0.006191114	1.49E-01
scaffold1499_size75804	67364	5.963815605	5.31E-07	8.63E-07	0.000208278	0.013082149	2.08E-01
scaffold1499_size75804	67395	-5.61987609	1.62E-06	3.54E-06	-9.34E-05	0.025711445	9.34E-02
scaffold1499_size75804	67457	6.819716715	3.35E-08	1.84E-08	0.000236975	0.00142482	2.37E-01
scaffold1499_size75804	67572	-5.744622847	1.08E-06	2.14E-06	-0.000121357	0.019893577	1.21E-01
scaffold1500_size75795	44568	7.48069975	4.05E-09	6.73E-10	0.000165623	0.000252057	1.66E-01
scaffold1500_size75795	59536	-5.405507671	3.23E-06	8.20E-06	-5.51E-05	0.037738628	5.51E-02
scaffold1501_size75793	19860	-5.494248866	2.42E-06	5.81E-06	-7.91E-05	0.031774638	7.91E-02
scaffold1502_size75778	6352	-5.580894705	1.83E-06	4.13E-06	-6.64E-05	0.027571399	6.64E-02
scaffold1502_size75778	6424	-5.331840677	4.09E-06	1.09E-05	-6.68E-05	0.042746115	6.68E-02
scaffold1502_size75778	57179	-5.327835729	4.14E-06	1.10E-05	-6.09E-05	0.043058533	6.09E-02
scaffold1504_size75731	52859	-5.400476601	3.28E-06	8.36E-06	-6.14E-05	0.038125029	6.14E-02
scaffold1520_size75011	48331	5.526284364	2.19E-06	5.12E-06	6.18E-05	0.030331231	6.18E-02
scaffold1521_size74984	51096	5.245620597	5.40E-06	1.50E-05	0.000105008	0.049075568	1.05E-01
scaffold1524_size74941_1_63669	57646	-5.779658635	9.64E-07	1.85E-06	-5.83E-05	0.018548951	5.83E-02
scaffold1527_size74793	5310	5.27523821	4.91E-06	1.35E-05	0.000123784	0.047092111	1.24E-01
scaffold1527_size74793	5347	5.398006146	3.31E-06	8.44E-06	0.000131564	0.038322126	1.32E-01
scaffold1527_size74793	5989	6.805317187	3.50E-08	1.97E-08	0.000130702	0.001471756	1.31E-01
scaffold1539_size74340	26402	5.502433598	2.36E-06	5.63E-06	5.82E-05	0.031358228	5.82E-02
scaffold1539_size74340	26423	5.950178879	5.55E-07	9.14E-07	6.56E-05	0.013260565	6.56E-02
scaffold1539_size74340	66685	-5.87382231	7.11E-07	1.26E-06	-0.00011779	0.015592657	1.18E-01
scaffold1539_size74340	66696	-5.818000775	8.52E-07	1.58E-06	-0.000108724	0.017012207	1.09E-01
scaffold1539_size74340	66699	-5.818000775	8.52E-07	1.58E-06	-0.000108724	0.017012207	1.09E-01
scaffold1539_size74340	66806	-5.53189381	2.15E-06	5.01E-06	-0.000108903	0.029998515	1.09E-01
scaffold1543_size74261	57725	6.03780087	4.18E-07	6.30E-07	0.000202241	0.011428288	2.02E-01
scaffold1562_size73771_11228_73771	56614	-5.280403364	4.83E-06	1.32E-05	-4.98E-05	0.046543357	4.98E-02
scaffold1562_size73771_11228_73771	56616	-5.280403364	4.83E-06	1.32E-05	-4.98E-05	0.046543357	4.98E-02
scaffold1562_size73771_11228_73771	56623	-5.280403364	4.83E-06	1.32E-05	-4.98E-05	0.046543357	4.98E-02
scaffold1569_size73571	15126	-5.238533579	5.52E-06	1.54E-05	-3.99E-05	0.049579936	3.99E-02
scaffold1569_size73571	15871	-5.92589218	6.01E-07	1.01E-06	-3.92E-05	0.013968416	3.92E-02
scaffold1569_size73571	33439	-5.351228147	3.84E-06	1.01E-05	-7.25E-05	0.041218182	7.25E-02
scaffold1569_size73571	53657	-5.519575015	2.23E-06	5.26E-06	-9.59E-05	0.03057195	9.59E-02
scaffold1569_size73571	66200	-5.780502439	9.62E-07	1.85E-06	-0.000116806	0.018512764	1.17E-01
scaffold1569_size73571	66333	-5.854602776	7.57E-07	1.36E-06	-0.000130682	0.016015596	1.31E-01
scaffold1569_size73571	73021	-5.234545328	5.59E-06	1.57E-05	-8.09E-05	0.049865013	8.09E-02
scaffold1570_size73523	49168	5.577829248	1.85E-06	4.18E-06	5.34E-05	0.027802187	5.34E-02
scaffold1578_size73275	16961	-5.531729213	2.15E-06	5.02E-06	-4.51E-05	0.030000805	4.51E-02
scaffold1579_size73274	10036	-5.556735499	1.98E-06	4.54E-06	-5.43E-05	0.028588897	5.43E-02
scaffold1579_size73274	10150	-5.327953453	4.14E-06	1.10E-05	-0.000115866	0.043058533	1.16E-01
scaffold1584_size73232_1_57587	50641	-5.335015309	4.05E-06	1.07E-05	-2.22E-05	0.042433202	2.22E-02
scaffold1589_size73114	62910	5.316155693	4.30E-06	1.15E-05	5.86E-05	0.043878879	5.86E-02
scaffold1590_size73083	25355	-5.482413203	2.52E-06	6.08E-06	-5.68E-05	0.032369508	5.68E-02
scaffold1598_size72841	7016	-6.325801198	1.65E-07	1.80E-07	-5.58E-05	0.005826713	5.58E-02
scaffold1598_size72841	22706	-5.38471175	3.45E-06	8.88E-06	-4.52E-05	0.039108231	4.52E-02
scaffold1598_size72841	35152	5.727308656	1.14E-06	2.30E-06	0.000182466	0.020747547	1.82E-01
scaffold1598_size72841	35565	6.120125555	3.20E-07	4.43E-07	0.000108494	0.009410588	1.08E-01
scaffold1598_size72841	35614	6.175225727	2.68E-07	3.49E-07	0.000108003	0.008337765	1.08E-01
scaffold1601_size72716	55452	-5.252807334	5.27E-06	1.46E-05	-8.57E-05	0.048574416	8.57E-02
scaffold1601_size72716	55770	-5.554320465	2.00E-06	4.59E-06	-7.71E-05	0.028758937	7.71E-02
scaffold1631_size72041	62294	-6.47912312	1.00E-07	9.00E-08	-8.74E-05	0.003795019	8.74E-02
scaffold1638_size71901_1_21627	5245	-5.922801094	6.07E-07	1.02E-06	-6.13E-05	0.014076324	6.13E-02
scaffold1638_size71901_22244_71901	25627	-5.418087382	3.10E-06	7.81E-06	-0.000106482	0.036893248	1.06E-01
scaffold1638_size71901_22244_71901	27639	-5.483746833	2.51E-06	6.05E-06	-4.61E-05	0.032277967	4.61E-02
scaffold1638_size71901_22244_71901	36922	-5.287161582	4.72E-06	1.29E-05	-6.41E-05	0.046078404	6.41E-02
scaffold1638_size71901_22244_71901	38147	-6.854343869	2.99E-08	1.55E-08	-0.000156148	0.001253362	1.56E-01
scaffold1640_size71885_1_25661	11627	-6.14984494	2.91E-07	3.89E-07	-3.62E-05	0.008772842	3.62E-02
scaffold1640_size71885_1_25661	15298	-5.695615155	1.27E-06	2.61E-06	-2.86E-05	0.021950419	2.86E-02
